Company_ID,Domain,Founding_Year,Country,City,Funding_Stage,Total_Funding_USD_Millions,Valuation_USD_Millions,Revenue_ARR_Millions,Monthly_Burn_Rate_Millions,Runway_Months_2024,Peak_Headcount_2023,Layoffs_2024_2025,Current_Headcount_2026,Investor_Tier,AI_Adoption_Level,Acquisition_Status,Layoff_Rate,Val_Multiplite,Burn_Multiple,Starup_Age
B730AD52,HealthTech,2014,Canada,Montreal,Seed,1.64,17.81,1.46,0.33,3.8,23,0,23,Tier 3 (Angel/Seed),High,Independent,0.0,12.198630136986301,2.712328767123288,12
65A5F690,Web3/Crypto,2014,China,Beijing,Pre-IPO,103.87,949.16,32.77,2.42,41.2,242,146,96,Tier 3 (Angel/Seed),,Closed,60.33057851239669,28.964296612755565,0.8861763808361305,12
F106C853,Cybersecurity,2020,USA,San Francisco,Series A,10.08,43.37,2.16,1.01,9.1,59,0,59,Tier 2 (Mid-size VC),High,Independent,0.0,20.078703703703702,5.611111111111112,6
2BD798AF,FinTech,2023,India,Delhi NCR,Series B,32.28,257.62,11.66,0.78,36.7,76,0,76,Tier 3 (Angel/Seed),Medium,Independent,0.0,22.09433962264151,0.8027444253859347,3
C5CB4451,Generative AI,2020,USA,New York,Series C+,13.41,76.73,2.57,1.12,11.0,59,28,31,Tier 2 (Mid-size VC),Medium,Closed,47.45762711864407,29.856031128404673,5.229571984435799,6
22994DE8,Generative AI,2014,China,Shanghai,Series A,287.28,2399.01,190.65,5.0,56.3,500,0,500,Tier 3 (Angel/Seed),Low,Independent,0.0,12.583320220298978,0.3147128245476003,12
F998B9AE,Generative AI,2017,USA,New York,Series A,6.55,72.71,6.22,0.61,9.2,32,0,32,Corporate VC (e.g. Google Ventures),Medium,Independent,0.0,11.689710610932476,1.1768488745980707,9
DFEF57C1,EdTech,2017,UK,Oxford,Seed,2.16,26.22,1.57,0.23,6.5,18,0,18,Tier 3 (Angel/Seed),Medium,Acquired,0.0,16.700636942675157,1.7579617834394905,9
569C2230,FinTech,2018,USA,San Francisco,Series C+,33.93,246.46,17.12,0.97,31.7,95,0,95,Tier 2 (Mid-size VC),Medium,Independent,0.0,14.396028037383177,0.6799065420560748,8
859D4768,ClimateTech,2013,USA,Miami,Series B,23.8,209.4,7.83,1.94,11.7,127,0,127,Tier 3 (Angel/Seed),Low,Independent,0.0,26.743295019157088,2.9731800766283527,13
1D7ABD11,Generative AI,2022,Singapore,Singapore,Seed,4.44,38.72,3.14,0.55,6.8,50,0,50,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,0.0,12.331210191082802,2.1019108280254777,4
B976C5FE,Web3/Crypto,2020,USA,Seattle,Series A,29.7,106.15,6.46,1.45,19.2,133,60,73,Corporate VC (e.g. Google Ventures),,Acquired,45.11278195488722,16.431888544891642,2.693498452012384,6
EC0C5B60,EdTech,2020,UK,Cambridge,Seed,0.39,16.47,1.28,0.73,0.5,49,12,37,Tier 2 (Mid-size VC),Medium,Independent,24.489795918367346,12.867187499999998,6.84375,6
CF9DDC66,Robotics,2014,UK,London,Seed,2.79,35.66,1.54,0.75,3.3,45,0,45,Tier 3 (Angel/Seed),Low,Independent,0.0,23.155844155844154,5.844155844155844,12
1D64EC27,Generative AI,2014,USA,San Francisco,Seed,0.79,26.44,3.9,0.57,1.2,34,0,34,Tier 2 (Mid-size VC),Medium,Acquired,0.0,6.77948717948718,1.7538461538461538,12
D5E2214A,Generative AI,2020,India,Bengaluru,Series A,19.74,236.42,12.55,0.99,18.1,95,0,95,Tier 3 (Angel/Seed),Low,Independent,0.0,18.838247011952188,0.946613545816733,6
AFAF9053,SpaceTech,2022,USA,New York,Series A,5.02,32.86,1.54,0.4,10.0,23,0,23,Tier 3 (Angel/Seed),Medium,IPO,0.0,21.337662337662337,3.1168831168831175,4
DCE11878,FinTech,2020,Germany,Berlin,Series B,32.33,129.42,6.85,2.55,12.2,151,0,151,Tier 2 (Mid-size VC),High,Independent,0.0,18.893430656934306,4.467153284671533,6
65A1258D,HealthTech,2022,UK,Oxford,Seed,1.92,32.94,1.75,0.71,2.4,52,0,52,Tier 3 (Angel/Seed),Low,Independent,0.0,18.822857142857142,4.868571428571428,4
B2864A7D,Robotics,2021,USA,Seattle,Series C+,74.17,661.86,69.86,2.85,25.1,263,0,263,Tier 2 (Mid-size VC),High,Independent,0.0,9.4740910392213,0.48955052963069,5
31E237D5,FinTech,2014,USA,San Francisco,Series A,4.91,50.38,9.64,0.52,7.9,42,0,42,Tier 3 (Angel/Seed),Medium,Acquired,0.0,5.226141078838174,0.6473029045643154,12
D5F5976A,Generative AI,2017,India,Mumbai,Seed,2.96,32.14,5.34,0.26,8.2,16,8,8,Tier 2 (Mid-size VC),High,Independent,50.0,6.0187265917602994,0.5842696629213483,9
