Datum;Produkt;Kategorie;Menge;Preis;Umsatz
02.04.2024;Laptop;Computer;1;999.0;999.0
07.01.2024;Maus;Computer;3;6.767;20.301000000000002
12.01.2024;Tastatur;Zubeheor;2;500.0;1000.0
20.01.2024;Monitor;Computer;1;349.0;349.0
03.02.2024;Headset;Audio;2;89.0;178.0
14.02.2024;Laptop;Computer;1;999.0;999.0
18.02.2024;Maus;Zuboer;5;29.0;145.0
01.03.2024;Tastatur;Zubehoer;1;59.0;59.0
10.03.2024;Monitor;Computer;2;349.0;698.0
22.03.2024;Headset;Audio;3;89.0;267.0
05.04.2024;Laptop;Computer;2;999.0;1998.0
09.04.2024;Maus;Zubehoer;4;29.0;116.0
17.04.2024;Tastatur;Zubehoer;3;59.0;177.0
01.05.2024;Monitor;Computer;1;349.0;349.0
14.05.2024;Headset;Audio;1;89.0;89.0
20.05.2024;Laptop;Computer;1;999.0;999.0
03.06.2024;Maus;Zubehoer;2;29.0;58.0
15.06.2024;Tastatur;Zubehoer;4;59.0;236.0
28.06.2024;Monitor;Computer;1;349.0;349.0
10.07.2024;Headset;Audio;2;89.0;178.0
